,inning,over,ball,total_runs,player_dismissed,batsman cluster,bowler cluster,batting_team_Chennai Super Kings,batting_team_Delhi Capitals,batting_team_Kings XI Punjab,batting_team_Kolkata Knight Riders,batting_team_Mumbai Indians,batting_team_Rajasthan Royals,batting_team_Royal Challengers Bangalore,batting_team_Sunrisers Hyderabad,bowling_team_Chennai Super Kings,bowling_team_Delhi Capitals,bowling_team_Kings XI Punjab,bowling_team_Kolkata Knight Riders,bowling_team_Mumbai Indians,bowling_team_Rajasthan Royals,bowling_team_Royal Challengers Bangalore,bowling_team_Sunrisers Hyderabad
55,1,9,6,2,0,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
56,1,10,1,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
57,1,10,2,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
58,1,10,3,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,1,10,4,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
60,1,10,5,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
61,1,10,6,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
62,1,11,1,1,0,0.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
63,1,11,2,4,0,0.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,1,11,3,0,1,0.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
65,1,11,4,1,0,0.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
66,1,11,5,2,0,12.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
67,1,11,6,2,0,12.0,10.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
68,1,12,1,1,0,0.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
69,1,12,2,0,0,12.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70,1,12,3,1,0,12.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
71,1,12,4,1,0,0.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
72,1,12,5,4,0,12.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
73,1,12,6,1,0,12.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
74,1,13,1,4,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
75,1,13,2,6,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,1,13,3,4,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
77,1,13,4,0,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
78,1,13,5,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
79,1,13,6,2,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
80,1,13,7,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
81,1,14,1,4,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
82,1,14,2,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
83,1,14,3,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
84,1,14,4,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
85,1,14,5,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
86,1,14,6,1,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
87,1,15,1,4,0,0.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
88,1,15,2,1,0,0.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
89,1,15,3,6,0,12.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
90,1,15,4,1,0,12.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
91,1,15,5,6,0,0.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
92,1,15,6,1,0,0.0,11.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
93,1,16,1,0,0,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
94,1,16,2,0,1,0.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
95,1,16,3,1,0,12.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
96,1,16,4,1,0,12.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
97,1,16,5,1,0,12.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
98,1,16,6,1,0,12.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
99,1,17,1,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
100,1,17,2,0,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
101,1,17,3,4,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
102,1,17,4,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
103,1,17,5,0,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
104,1,17,6,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
105,1,18,1,6,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106,1,18,2,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
107,1,18,3,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
108,1,18,4,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
109,1,18,5,4,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
110,1,18,6,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
111,1,18,7,2,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
112,1,18,8,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
113,1,19,1,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
114,1,19,2,4,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
115,1,19,3,6,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
116,1,19,4,0,1,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
117,1,19,5,1,0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
118,1,19,6,0,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
119,1,20,1,1,0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
120,1,20,2,1,0,12.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
121,1,20,3,6,0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
122,1,20,4,2,0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
123,1,20,5,0,0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
124,1,20,6,6,0,3.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
125,2,1,1,1,0,14.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
126,2,1,2,0,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
127,2,1,3,0,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,2,1,4,2,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
129,2,1,5,4,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
130,2,1,6,4,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
131,2,2,1,0,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
132,2,2,2,0,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
133,2,2,3,1,0,14.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
134,2,2,4,0,0,6.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
135,2,2,5,0,0,6.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
136,2,2,6,0,0,6.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
137,2,3,1,0,0,14.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
138,2,3,2,4,0,14.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
139,2,3,3,1,0,14.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
140,2,3,4,4,0,6.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
