,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team
204,SO Hetmyer,18.0,123.28,0.0,0.0,0.0,Royal Challengers Bangalore
205,SP Goswami,17.33,130.0,0.0,0.0,0.0,Sunrisers Hyderabad
206,SP Jackson,19.0,122.58,0.0,0.0,0.0,Kolkata Knight Riders
207,SP Narine,16.1025,145.575,32.75,7.3925,26.674999999999997,Kolkata Knight Riders
208,SPD Smith,39.87,116.0,0.0,0.0,0.0,Rajasthan Royals
209,SR Watson,22.16,126.68750000000001,28.77,6.6675,19.275,Chennai Super Kings
210,SS Iyer,26.755,115.34250000000002,0.0,0.0,0.0,Delhi Capitals
211,SS Tiwary,52.0,120.93,0.0,0.0,0.0,Mumbai Indians
212,STR Binny,15.870000000000001,137.995,47.625,9.7475,38.25,Rajasthan Royals
213,SV Samson,29.93,135.06,0.0,0.0,0.0,Rajasthan Royals
214,SW Billings,14.625,102.1625,0.0,0.0,0.0,Chennai Super Kings
215,Sachin Baby,17.375,125.315,2.0,2.4,2.5,Royal Challengers Bangalore
216,Sandeep Sharma,0.0,101.38499999999999,26.2225,7.8549999999999995,20.05,Sunrisers Hyderabad
217,Shakib Al Hasan,13.379999999999999,104.7125,32.167500000000004,8.73,23.525,Sunrisers Hyderabad
218,Shivam Mavi,4.33,86.66,54.0,9.64,33.6,Kolkata Knight Riders
219,Shubman Gill,33.355000000000004,135.2,0.0,0.0,0.0,Kolkata Knight Riders
220,Swapnil Singh,3.0,31.575,30.5,9.185,21.0,Kings XI Punjab
221,T Natarajan,0.0,0.0,57.5,9.07,38.0,Kings XI Punjab
222,T Shamsi,0.0,0.0,49.0,9.18,32.0,Royal Challengers Bangalore
223,TA Boult,1.75,59.375,35.17,9.055,23.224999999999998,Delhi Capitals
224,TG Southee,10.75,151.065,59.6875,9.84,34.35,Royal Challengers Bangalore
225,TK Curran,7.66,82.14,19.66,11.6,10.1,Kolkata Knight Riders
226,TM Head,28.6,137.405,20.25,5.06,12.0,Royal Challengers Bangalore
227,TS Mills,2.66,72.72,30.6,8.57,21.4,Royal Challengers Bangalore
228,UBT Chand,0.0,0.0,0.0,0.0,0.0,Mumbai Indians
229,UT Yadav,5.5625,96.0475,28.695,8.7775,19.225,Royal Challengers Bangalore
230,V Kohli,48.3,138.70250000000001,0.0,3.25,0.0,Royal Challengers Bangalore
231,V Shankar,41.276666666666664,134.77333333333334,42.666666666666664,6.783333333333334,26.0,Sunrisers Hyderabad
232,VR Aaron,1.3333333333333333,27.616666666666664,55.26,9.133333333333335,35.36666666666667,Rajasthan Royals
233,Vishnu Vinod,6.33,73.07,0.0,0.0,0.0,Royal Challengers Bangalore
234,WP Saha,20.0975,133.58499999999998,0.0,0.0,0.0,Sunrisers Hyderabad
235,Washington Sundar,11.08,102.19,33.25,8.91,21.75,Royal Challengers Bangalore
236,Y Prithvi Raj,0.0,0.0,57.0,11.4,30.0,Kolkata Knight Riders
237,YK Pathan,33.07,122.195,22.0,7.6875,18.0,Sunrisers Hyderabad
238,YS Chahal,1.8325,21.875,23.64,7.720000000000001,18.5,Royal Challengers Bangalore
239,Yuvraj Singh,22.3875,123.47749999999999,5.5,7.7325,3.0,Sunrisers Hyderabad
240,Z Khan,3.5,38.455,32.5,7.75,25.15,Delhi Capitals
