,Player,Batting Average,Batting Strike Rate,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,Team,Batting Cluster,Bowling Cluster
146,Mohammed Siraj,5.5,47.4,30.993333333333336,9.236666666666666,20.066666666666666,Sunrisers Hyderabad,4,0
147,Mujeeb Ur Rahman,5.0,71.425,42.15,8.52,27.85,Kings XI Punjab,10,7
148,Mustafizur Rahman,0.3333333333333333,11.11,19.203333333333333,9.336666666666666,15.0,Sunrisers Hyderabad,1,14
149,N Pooran,28.0,157.0,0.0,0.0,0.0,Kings XI Punjab,14,4
150,N Rana,30.6775,135.54999999999998,8.75,4.7825,6.3,Mumbai Indians,7,12
151,NA Saini,2.0,50.0,36.09,8.27,26.1,Royal Challengers Bangalore,4,11
152,NM Coulter-Nile,2.33,90.47,26.6,7.8199999999999985,20.65,Kolkata Knight Riders,2,0
153,NS Naik,9.25,58.97,0.0,0.0,0.0,Kolkata Knight Riders,10,4
154,NV Ojha,11.45,81.69333333333333,0.0,0.0,0.0,Sunrisers Hyderabad,6,4
155,O Thomas,0.0,0.0,15.8,7.9,12.0,Rajasthan Royals,1,9
156,P Chopra,4.0,66.665,0.0,0.0,0.0,Rajasthan Royals,10,4
157,P Negi,12.5625,90.3325,44.8275,9.2075,28.075,Royal Challengers Bangalore,6,7
158,P Ray Barman,19.0,79.16,0.0,14.0,0.0,Royal Challengers Bangalore,6,1
159,P Sahu,19.0,146.15,48.66,8.34,35.0,Kings XI Punjab,11,10
160,P Simran Singh,16.0,94.11,0.0,0.0,0.0,Kings XI Punjab,6,4
161,PA Patel,24.905,132.695,0.0,0.0,0.0,Royal Challengers Bangalore,7,4
162,PJ Cummins,15.4,145.28,24.86,8.07,18.4,Delhi Capitals,11,6
163,PJ Sangwan,0.0,0.0,0.0,9.5,0.0,Mumbai Indians,1,1
164,PP Chawla,7.9375,82.52250000000002,30.99,8.5075,21.725,Kolkata Knight Riders,6,0
165,PP Shaw,24.64,143.41500000000005,0.0,0.0,0.0,Delhi Capitals,7,4
166,Parvez Rasool,10.0,111.11,129.0,9.21,84.0,Royal Challengers Bangalore,2,5
167,Q de Kock,32.48666666666667,131.02,0.0,0.0,0.0,Royal Challengers Bangalore,0,4
168,R Ashwin,10.575,146.82999999999996,33.83,7.68,26.2,Kings XI Punjab,11,11
169,R Dhawan,0.0,233.33,28.0,8.0,21.0,Kings XI Punjab,5,0
170,R Parag,32.0,126.98,60.5,8.64,42.0,Rajasthan Royals,0,3
171,R Sathish,8.0,100.0,59.0,9.83,36.0,Kolkata Knight Riders,2,3
172,R Tewatia,20.553333333333327,135.72333333333333,22.05333333333333,6.6433333333333335,19.666666666666668,Delhi Capitals,7,6
173,R Vinay Kumar,4.333333333333333,102.77666666666666,23.11,11.463333333333333,12.833333333333336,Mumbai Indians,2,14
174,RA Jadeja,26.565,120.36,25.2,6.869999999999999,21.950000000000006,Chennai Super Kings,12,6
